ServiceId,Make,Year,ServiceType,TotalCost
61,BMW,2019,"Engine Overheating - Brake Pad Replacement",1133.02
62,BMW,2006,"Electrical Issues - Electrical System Repair",698.42
63,Ford,2021,"Battery Issue - Electrical System Repair",378.52
64,BMW,2014,"Worn Tires - Electrical System Repair",1237.49
65,Nissan,2003,"Brake Failure - Transmission Repair",397.21
66,Honda,2021,"Electrical Issues - Electrical System Repair",1095.19
67,Ford,2006,"Battery Issue - Electrical System Repair",884.3
68,Toyota,2006,"Transmission Problem - Battery Replacement",1059.55
69,Honda,2003,"Electrical Issues - Oil Change",361.09
70,Ford,2011,"Engine Overheating - Tire Replacement",922.1
71,Ford,2003,"Battery Issue - Brake Pad Replacement",461.43
72,Ford,2016,"Engine Overheating - Battery Replacement",786.64
73,Toyota,2015,"Suspension Issue - Brake Pad Replacement",946.18
74,Honda,2011,"Oil Leak - Engine Cooling System Repair",386.52
75,Ford,2004,"Electrical Issues - Oil Change",1093.07
76,Toyota,2002,"Electrical Issues - Electrical System Repair",1300.74
77,BMW,2016,"Worn Tires - Brake Pad Replacement",370.59
78,Nissan,2006,"Electrical Issues - Suspension Repair",718.5
79,Nissan,2009,"Engine Overheating - Exhaust System Repair",1051.35
80,Nissan,2000,"Suspension Issue - Oil Change",1193.88
81,Honda,2002,"Suspension Issue - Tire Replacement",933.25
82,BMW,2001,"Suspension Issue - Battery Replacement",382.88
83,Honda,2002,"Engine Overheating - Suspension Repair",513.81
84,Toyota,2006,"Exhaust System Leak - Brake Pad Replacement",1137.65
85,BMW,2001,"Engine Overheating - Suspension Repair",566.26
86,BMW,2021,"Battery Issue - Exhaust System Repair",749.22
87,Ford,2004,"Battery Issue - Tire Replacement",233.4
88,BMW,2015,"Engine Overheating - Exhaust System Repair",877.87
89,Nissan,2005,"Worn Tires - Electrical System Repair",789.12
90,Nissan,2016,"Engine Overheating - Exhaust System Repair",573.72
91,Toyota,2009,"Worn Tires - Exhaust System Repair",170.68
92,Honda,2009,"Suspension Issue - Suspension Repair",1279.19
93,Toyota,2011,"Exhaust System Leak - Exhaust System Repair",808.83
94,Toyota,2002,"Transmission Problem - Electrical System Repair",1006.92
95,Ford,2021,"Oil Leak - Electrical System Repair",1204.24
96,Honda,2020,"Battery Issue - Battery Replacement",1367.2
97,Ford,2007,"Battery Issue - Electrical System Repair",1004.42
98,Honda,2023,"Suspension Issue - Brake Pad Replacement",909.18
99,Ford,2024,"Suspension Issue - Brake Pad Replacement",5819.12
100,Ford,2030,"Suspension Issue - Brake Pad Replacement",10213.25
